TIPO DE PROCESO,CIUDAD,REGION,PRESENTACIÓN DEMANDA,AÑO DEMANDA,RED,TIPO RELACIÓN,PRETENSIÓN,CLASE (posibilidad de pérdida),ESTADO ACTUAL,APODERADO BANCO
Ordinario,bogota,bogotá,2000-11-09,2000.0,Bancolombia,Jubilado,indemnización,otros,conciliado,josé roberto herrera vergara
Ordinario,bogota,bogotá,2006-06-20,2006.0,Bancolombia,Jubilado,otros,otros,favorable,pedro charria angulo
Ordinario,palmira,sur,2000-06-10,2000.0,Bancolombia,Jubilado,otros,otros,conciliado,josé roberto herrera vergara
Ordinario,sincelejo,caribe,2000-08-01,2000.0,Bancolombia,Jubilado,otros,otros,favorable,manuel e. pérez díaz
Ordinario,medellin,antioquia,2000-01-28,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,maría elena alzate c.
Ordinario,ocaña,centro,2001-08-13,2001.0,Bancolombia,Jubilado,reintegro,otros,conciliado,ruth criado de vera
Ordinario,cucuta,centro,2000-02-08,2000.0,Bancolombia,Empleado,salario,otros,favorable,angel maría corzo labrador
Ordinario,cucuta,centro,2000-02-08,2000.0,Bancolombia,Empleado,salario,otros,favorable,angel maría corzo labrador
Ordinario,medellin,antioquia,2000-05-30,2000.0,Bic,Jubilado,reintegro,otros,favorable,humberto jairo jaramillo v.
Ordinario,medellin,antioquia,2000-07-07,2000.0,Bancolombia,Otros,otros,otros,neutro,maría elena alzate c.
Ordinario,sahagun,caribe,2000-04-14,2000.0,Bancolombia,Jubilado,otros,otros,favorable,jose gabiel ramirez echeverria
Ordinario,santa marta,caribe,2001-07-10,2001.0,Bancolombia,Otros,otros,otros,neutro,carlos valega puello
Ordinario,ibague,centro,2000-03-22,2000.0,Bancolombia,Otros,otros,otros,favorable,gustavo arbelaez arbelaez
Ordinario,cali,sur,2000-02-03,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,luis fernando rojas arango 
Ordinario,medellin,antioquia,2000-06-29,2000.0,Bic,Jubilado,indemnización,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2000-03-01,2000.0,Bic,Jubilado,indemnización,otros,favorable,maría elena alzate c.
Ordinario,cucuta,centro,2000-08-01,2000.0,Bancolombia,Empleado,otros,otros,conciliado,angel maría corzo labrador
Ordinario,medellin,antioquia,2001-03-13,2001.0,Bic,Jubilado,salario,otros,favorable,humberto jairo jaramillo v.
Ordinario,medellin,antioquia,2001-03-13,2001.0,Bic,Jubilado,salario,otros,favorable,humberto jairo jaramillo v.
Ordinario,villeta,bogotá,2000-03-01,2000.0,Bancolombia,Jubilado,reintegro,otros,favorable,pedro charria angulo
Ordinario,medellin,antioquia,2001-03-13,2001.0,Bic,Jubilado,indemnización,otros,favorable,humberto jairo jaramillo v.
Ordinario,medellin,antioquia,2000-03-06,2000.0,Bic,Otros,otros,otros,conciliado,humberto jairo jaramillo v.
Especial,girardot,centro,2001-06-15,2001.0,Bancolombia,Empleado,fuero sindical,otros,favorable,clara lasso de ramírez 
Ordinario,ibague,centro,2001-08-02,2001.0,Bancolombia,Jubilado,jubilacion,otros,conciliado,gustavo arbelaez arbelaez
Ordinario,sahagun,caribe,2000-04-14,2000.0,Bancolombia,Jubilado,otros,otros,favorable,jose gabiel ramirez echeverria
Ejecutivo,palmira ,sur,2003-05-01,2003.0,Bancolombia,Jubilado,otros,otros,favorable,luis fernando rojas arango 
Ordinario,bogota,bogotá,2000-06-20,2000.0,Bic,Jubilado,reintegro,otros,favorable,pedro charria angulo
Ejecutivo,el plato,caribe,2000-02-15,2000.0,Bancolombia,Jubilado,otros,otros,favorable,carlos valega puello
Ordinario,bogota,bogotá,2001-02-01,2001.0,Bancolombia,Otros,otros,otros,neutro,charria camacho lopez
Ordinario,popayan,sur,2001-03-01,2001.0,Bancolombia,Jubilado,otros,otros,favorable,luis fernando rojas arango 
Ordinario,bogota,bogotá,2001-05-17,2001.0,Bancolombia,Jubilado,jubilacion,otros,favorable,pedro charria angulo
Ordinario,medellin,antioquia,2001-05-07,2001.0,Bic,Jubilado,indemnización,otros,favorable,maría elena alzate c.
Ordinario,santa marta,caribe,2001-07-10,2001.0,Bancolombia,Jubilado,otros,otros,favorable,carlos valega puello
Ordinario,tumaco,sur,2001-08-10,2001.0,Bancolombia,Jubilado,jubilacion,otros,favorable,luis felipe arana madriñán (josé roberto herrera v.)
Especial,bucaramanga,centro,2002-12-19,2002.0,Bancolombia,Empleado,fuero sindical,otros,terminado,carlos fernando serrano mantilla
Especial,bucaramanga,centro,2001-04-01,2001.0,Bancolombia,Empleado,fuero sindical,otros,terminado,carlos fernando serrano mantilla
Ordinario,ibague,centro,2001-04-16,2001.0,Bancolombia,Jubilado,jubilacion,otros,favorable,gustavo arbelaez arbelaez
Ordinario,manizales,centro,2001-10-24,2001.0,Bancolombia,Jubilado,indemnización,otros,favorable,fernando naranjo valencia
Ordinario,medellin,centro,2001-10-12,2001.0,Bancolombia,Jubilado,reintegro,otros,favorable,maría elena alzate c.
Ordinario,valledupar,caribe,2001-02-01,2001.0,Bic,Jubilado,reintegro,otros,favorable,rosalba sierra redondo
Ordinario,sincelejo,caribe,2001-10-09,2001.0,Bancolombia,Jubilado,otros,otros,favorable,"manuel e. perez diaz / charria, camacho, lopez"
Ordinario,santa marta,caribe,2001-07-10,2001.0,Bancolombia,Otros,otros,otros,favorable,carlos valega puello
Ordinario,tunja,centro,2000-10-10,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,cesar fernando torres serrano
Especial,medellin,antioquia,2002-07-01,2002.0,Bancolombia,Jubilado,reintegro,otros,favorable,maría elena alzate c.
Ordinario,medellin,antioquia,2001-05-24,2001.0,Bancolombia,Jubilado,salario,otros,favorable,luciano barrientos garcía
Ordinario,medellin,antioquia,2003-04-10,2003.0,Bic,Jubilado,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,plato,caribe,2000-05-01,2000.0,Bancolombia,Jubilado,otros,otros,favorable,carlos valega puello
Especial,bogota,bogotá,2003-04-01,2003.0,Bancolombia,Empleado,salario,otros,favorable,charria camacho lopez
Ordinario,cucuta,centro,2003-06-01,2003.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,angel maría corzo labrador
Especial,villavicencio,centro,2000-08-23,2000.0,Bancolombia,Empleado,fuero sindical,otros,favorable,ricardo caviedes del hierro
Ordinario,bogota,bogotá,2003-02-01,2003.0,Bancolombia,Jubilado,otros,otros,favorable,charria camacho lopez
Ordinario,medellin,antioquia,2003-10-21,2003.0,Bic,Jubilado,salario,otros,conciliado,humberto jairo jaramillo v.
Ordinario,aguachica,centro,2001-11-14,2001.0,Bic,Jubilado,jubilacion,otros,favorable,ruth criado de vera
Ordinario,villavicencio,centro,2002-11-25,2002.0,Otros,Otros,salario,otros,favorable,winston rubio segura
Ordinario,dorada,centro,2000-08-29,2000.0,Bic,Jubilado,indemnización,otros,favorable,juan carlos alvarez h.
Ordinario,plato,caribe,2000-04-28,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,carlos valega puello
Especial,girardot,centro,2001-06-15,2001.0,Bancolombia,Empleado,fuero sindical,otros,favorable,clara lasso de ramírez 
Especial,girardot,centro,2001-07-30,2001.0,Bancolombia,Empleado,fuero sindical,otros,favorable,clara lasso de ramírez 
Especial,girardot,centro,2001-08-31,2001.0,Bancolombia,Empleado,fuero sindical,otros,favorable,clara lasso de ramírez 
Ordinario,bogota,bogotá,2002-03-13,2002.0,Bancolombia,Jubilado,otros,otros,favorable,charria camacho lopez
Ordinario,medellin,centro,2001-06-27,2001.0,Bancolombia,Jubilado,indemnización,otros,favorable,luciano barrientos garcía
Especial,sincelejo,caribe,2004-08-01,2004.0,Banco de colombia,Empleado,fuero sindical,otros,conciliado,carlos valega puello
Ordinario,cartagena,caribe,2000-12-13,2000.0,Banco de colombia,Otros,otros,otros,neutro,ines espinosa de barbosa
Ordinario,monteria ,caribe,2003-05-01,2003.0,Bic,Jubilado,reintegro,otros,favorable,jaime antonio caballero garcia
Ordinario,bogota,bogotá,2003-05-01,2003.0,Bancolombia,Jubilado,jubilacion,otros,favorable,charria camacho lopez
Ordinario,medellin,antioquia,2004-08-01,2004.0,Bancolombia,Jubilado,indemnización,otros,favorable,humberto jairo jaramillo v.
Ordinario,cucuta,centro,2003-08-01,2003.0,Bancolombia,Jubilado,jubilacion,otros,favorable,angel maría corzo labrador
Ordinario,bogota,bogotá,2003-08-11,2003.0,Bancolombia,Jubilado,indemnización,otros,favorable,charria camacho lopez
Ordinario,dorada,centro,2000-07-10,2000.0,Bic,Jubilado,indemnización,otros,favorable,juan carlos alvarez h.
Ordinario,dorada,centro,2000-08-29,2000.0,Bic,Jubilado,indemnización,otros,favorable,juan carlos alvarez h.
Ordinario,tumaco,sur,2000-02-01,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,luis felipe arana madriñán (josé roberto herrera v.)
Ordinario,bogota,bogotá,2000-12-18,2000.0,Bancolombia,Jubilado,jubilacion,otros,favorable,charria camacho lopez
Ordinario,medellin,antioquia,2001-04-23,2001.0,Bic,Jubilado,indemnización,otros,favorable,hector uribe vasquez
Ordinario,buenaventura,sur,2004-05-18,2004.0,Bancolombia,Jubilado,otros,otros,favorable,luis fernando rojas arango 
Ordinario,plato,caribe,2000-07-27,2000.0,Bancolombia,Jubilado,indemnización,otros,favorable,carlos valega puello
Ordinario,santa marta,caribe,2000-10-08,2000.0,Bancolombia,Otros,otros,otros,neutro,carlos valega puello
Ordinario,santa marta,caribe,2002-01-30,2002.0,Bic,Jubilado,jubilacion,otros,favorable,carlos valega puello
Ordinario,velez,centro,2003-06-01,2003.0,Bancolombia,Jubilado,reintegro,otros,favorable,cesar fernando torres serrano
Unico,medellin,antioquia,2003-10-01,2003.0,Bancolombia,Empleado,otros,otros,favorable,maría elena alzate c.
Ordinario,magangue,caribe,2001-05-21,2001.0,Bancolombia,Jubilado,jubilacion,otros,favorable,manuel e. pérez díaz
Ordinario,cucuta,centro,2000-08-01,2000.0,Bancolombia,Empleado,otros,otros,favorable,angel maría corzo labrador
Ordinario,medellin,antioquia,2004-02-01,2004.0,Bic,Jubilado,otros,otros,favorable,jose antonio escobar lozada
Ordinario,bogota,bogotá,2000-05-12,2000.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,charria camacho lopez
Ordinario,cali,sur,2001-09-17,2001.0,Conavi,Jubilado,indemnización,otros,favorable,dr. luis fernando rojas a.
Ordinario,cucuta,centro,2000-08-01,2000.0,Banco de colombia,Empleado,otros,otros,favorable,angel maría corzo labrador
Ordinario,cucuta,centro,2003-04-01,2003.0,Bancolombia,Jubilado,jubilacion,otros,favorable,angel maría corzo labrador
Especial,medellin,antioquia,2002-10-18,2002.0,Bancolombia,Empleado,reintegro,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-04-23,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-04-23,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,caucasia,antioquia,2003-11-25,2003.0,Otros,Otros,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,armenia,sur,2005-07-25,2005.0,Banco de colombia,Jubilado,jubilacion,otros,favorable,humberto jairo jaramillo v.
Ordinario,armenia,sur,2001-10-12,2001.0,Bancolombia,Empleado,otros,otros,favorable,luis felipe arana madriñán (josé roberto herrera v.)
